ObjType	UniqueId	Name	Description	XSigned	XLSBFirst	XOffsetInt	XOffsetHex	XSizeInBits	XAddrStep	XUnits	XOutputType	XEquation	XPrecision	XRangeLow	XRangeHigh	YSigned	YLSBFirst	YOffsetInt	YOffsetHex	YSizeInBits	YAddrStep	YUnits	YOutputType	YEquation	YPrecision	YRangeLow	YRangeHigh	ZSigned	ZLSBFirst	ZOffsetInt	ZOffsetHex	ZSizeInBits	ZUnits	ZOutputType	ZEquation	ZPrecision	ZRangeLow	ZRangeHigh	BitNumber	BitMask	RowCount	ColCount	IndexCount
5		CRKPIP	Number of PIPs between injector firing.																									0	1		B48B	8	PIPs	int	X	0							
		IGN_TYPE 	" Inidcator of ignition type  (0  =  TFI,  1  =  TFI_ICCD,  2  = LDR-DIS)."																																								
		NCNT 	 Minimum number of PIPs necessary to exit CRANK Mode.																																								
		NRUN 	 Minimum Engine Speed to exit CRANK Mode.																																								
		NSTALL 	 Engine Stall speed to re-enter CRANK Mode.																																								
		STALLN 	 Stall RPM:  If the first RPM calculated  is  greater  than  this value assume that there was a reinit.																																								
		UNRPM 	 Underspeed Engine Speed.																																								
		UNRPMH 	 Hysteresis term for UNDERSPEED Mode.																																								
		DELTA 	 CT/PT Breakpoint Value above RATCH.																																								
		HYST2 	 Hysteresis term to enter WOT Mode.																																								
		HYSTS 	 Hysteresis term to exit Closed Throttle Mode.																																								
		THBP2 	 PT/WOT Breakpoint Value above RATCH.																																								
		AEM 	" ECT/ACT weighting factor, unitless."																																								
		AETAR 	 TAR above which AE may be enabled.																																								
		FN019A(TAR) 	 x-axis input to FN1303.																																								
		FN020(FRCTAE * ACT + (1-FRCTAE) * ECT) 	 y-axis input to FN1303.																																								
		"FN1303(TAR,TEMP) "	" Desired AE fuel flow, lbm/hr."																																								
		FN324(MAP) 	" Accel enrichment fuel flow multiplier, unitless."																																								
		FN331A(TP-RATCH) 	" Accel enrichment fuel flow multiplier, unitless."																																								
		FN332(AEFUEL) 	" Accel enrichment pulse period, seconds."																																								
		FN378(BP) 	" Accel enrichment fuel flow multiplier, unitless."																																								
		FN379(NBAR) 	" Accel enrichment fuel flow multiplier, unitless."																																								
		FN367(VBAT) 	" Injector offset, millisec."																																								
		FRCTAE 	" ACT to ECT proportioning factor, unitless."																																								
		INJOUT 	 Number oof injectors fired by each output port.																																								
		NUMOUT 	" Number of injector output ports, unitless."																																								
		stcf 	" Seconds to clock ticks conversion factor, ticks/second."																																								
		CTHIGH 	" Hot start engine coolant temperature, deg F."																																								
		CTLOW 	" Cold start engine coolant temperature, deg F."																																								
		ECTSTABL 	 Minimum ECT to use stabilized  engine  open  loop  fuel  table FN1360.																																								
		ECTSTHYS 	 Hysteresis for ECTSTABL.  This value should be larger than the drop in ECT when the thermostat opens on a 0 degree cold warm-up.																																								
		MFARMP 	 MFAMUL ramp increment when ramping into MPG  table.   MFARMP  is added every background loop.																																								
		OPCLT1 	" Cold start closed loop delay, seconds."																																								
		OPCLT2 	" Mid-ambient start closed loop delay, seconds."																																								
		OPCLT3 	" Hot start closed loop delay time, seconds."																																								
		TCSTRT 	 ECT at start-up.																																								
		FN371 	 Initial LAMMUL as a function of ECT.																																								
		FN371_ALT 	 Alternative FN371.																																								
		MULTM 	 Minimum time interval incrementing LAMMUL.																																								
		TRLOAD 	 Transmission load switch.																																								
		EGO_IDLE 	 Number of EGO switches required to enter  Open  Loop  Fuel  at extended idles.																																								
		FN311 	 Minimum TP_REL required to force open loop.																																								
		FN1360 	" Stabilized open loop fuel table, an  8  x  10  table  of  lambda values  as  a function of engine speed N, and load, MAPPA.  FN070B is the normalizing function for N.   FN072C  is  the  normalizing  function  for MAPPA."																																								
		HLDTIM 	" Time delay before high load forced open loop, sec."																																								
		LAMDLT 	 LAMAVE delta to allow open loop fuel.																																								
		LAMRHYS 	 Hysteresis for LAMRICH.																																								
